security_id,issuer_id,stock_code_5d,mapping_status,mapping_basis
HKEX:01060,HKEX-ISSUER:34d1af8413425cd6,01060,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:01065,HKEX-ISSUER:32f0354917906732,01065,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:01066,HKEX-ISSUER:52707d8bca95f4d5,01066,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:01070,HKEX-ISSUER:df15eadd4986a971,01070,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:01071,HKEX-ISSUER:230273fe643ff99a,01071,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:01072,HKEX-ISSUER:755f924ee472607a,01072,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:01081,HKEX-ISSUER:90719cf1d7a191a5,01081,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:01083,HKEX-ISSUER:198f87df0cbfdeb6,01083,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:01088,HKEX-ISSUER:4b347f328578cee3,01088,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:01093,HKEX-ISSUER:ea5d838f03c01d9d,01093,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:01099,HKEX-ISSUER:02514108a421291b,01099,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:01108,HKEX-ISSUER:4bb6b205852c1c30,01108,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:01109,HKEX-ISSUER:7414ac20943d5c5f,01109,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:01112,HKEX-ISSUER:e20afead8fb91de9,01112,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:01113,HKEX-ISSUER:db3332d6528798d2,01113,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:01114,HKEX-ISSUER:3264bd8d39f7c27a,01114,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:01117,HKEX-ISSUER:d166691aa16b977c,01117,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:01128,HKEX-ISSUER:513cf85fb0395280,01128,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:01138,HKEX-ISSUER:6ba8c5d97d8634f7,01138,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:01157,HKEX-ISSUER:85c00275b3f35f46,01157,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:01164,HKEX-ISSUER:4265bc9d4f226783,01164,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:01171,HKEX-ISSUER:5bad3f8c34dab180,01171,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:01177,HKEX-ISSUER:dcab54ac09b5aa67,01177,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:01186,HKEX-ISSUER:4270f063af45555c,01186,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:01187,HKEX-ISSUER:17963c10ace57283,01187,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:01193,HKEX-ISSUER:bbb920d3b7a9869f,01193,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
